plant,treatment,day,Pyruvic acid methyl ester,Tween 40,Tween 80,Alpha-cyclodextrin,Glycogen,D-Cellobiose,alpha-D-Lactose,Beta-Methyl-D-Glucoside,D-Xylose,I-Erythritol,D-Mannitol,N-Acetyl-D-Glucosamine,D-Glucosaminic acid,Glucose-1-phosphate,"D,L-alpha-glycerol phosphate",D-Galactonic acid gamma-Lactone,D-Galacturonic acid,2-Hydroxy benzoic acid,4-Hydroxy benzoic acid,gamma-Hydroxybutyric acid,Itaconic acid,alpha-Ketobutyric acid,D-Malic acid,L-Arginine,L-Asparagine,L-Phenylalanine,L-Serine,L-Threonine,Glycyl-L-glutamic acid,Phenylethylamine,Putrescine
38,CommA,55,0.763,1.062,1.869,0.678,0.47,0.689,0.453,1.295,0.519,0.6,1.025,1.482,0.64,1.268,1.123,0.423,1.433,0.013,0.744,0.834,0.893,0.563,1.532,0.553,1.28,0.752,1.16,1.028,0.955,0.735,0.718
43,CommA,55,1.176,2.036,1.791,0.245,0.277,0.524,0.597,1.072,0.559,0.365,1.317,1.765,0.473,0.921,1.015,0.171,1.458,0.006,0.717,0.913,0.912,0.414,1.552,0.74,1.656,0.358,1.316,0.308,0.346,0.579,0.8
3,CommA,1,0.513,1.175,1.361,0.352,0.15,0.49,0.718,1.031,0.511,0.245,0.615,1.022,0.43,0.421,0.681,0.305,1.379,-0.071,0.365,0.484,0.58,0.126,0.309,0.277,0.732,0.172,0.572,0.292,0.346,0.298,0.411
10,CommA,1,0.714,1.099,0.926,0.376,0.628,0.707,0.858,1.454,0.894,0.05,0.702,1.543,0.373,1.13,0.315,0.199,1.554,-0.111,0.419,0.608,0.634,0.183,1.453,0.25,0.928,0.144,0.729,0.686,0.534,0.363,0.337
13,CommA,1,0.549,0.495,0.777,0.148,0.091,0.998,1.007,1.074,1.087,0.459,0.742,1.949,0.282,1.094,0.832,0.256,2.491,-0.105,0.466,0.548,0.579,0.174,0.355,0.391,1.024,0.125,1.037,0.749,0.638,0.411,0.559
15,CommA,1,0.621,0.618,1.08,0.309,0.193,0.325,0.786,1.421,0.627,0.18,0.611,1.441,0.68,0.434,0.477,0.207,2.85,-0.085,0.325,0.507,0.511,0.335,1.026,0.313,0.808,0.265,0.622,0.449,0.488,0.236,0.271
17,CommA,1,0.813,0.815,1.124,0.393,0.127,0.463,0.693,0.996,0.523,0.096,0.46,1.58,0.262,0.662,0.984,0.696,1.492,-0.23,0.467,0.617,0.546,0.041,2.142,0.384,1.241,0.091,1.184,0.297,0.723,0.375,0.501
24,CommA,1,0.668,0.702,0.802,0.414,-0.011,0.315,0.753,0.644,0.897,0.023,0.506,1.298,0.285,0.534,0.712,0.239,2.343,-0.183,0.257,0.389,0.378,0.211,1.44,0.432,0.905,0.136,1.041,0.438,0.443,0.162,0.384
29,CommA,1,0.758,1.028,1.034,0.367,-0.037,0.462,0.733,1.364,0.466,0.279,0.499,1.311,0.801,0.497,0.501,0.275,1.962,-0.135,0.282,0.536,0.503,0.364,1.448,0.395,0.871,0.16,0.99,0.515,0.591,0.263,0.278
34,CommA,1,0.733,0.893,0.992,0.359,0.067,0.563,0.896,0.603,0.628,0.108,0.645,1.297,0.288,0.543,0.647,0.362,1.836,-0.095,0.38,0.535,0.481,0.238,1.486,0.459,0.961,0.247,1.019,0.466,0.418,0.346,0.484
